Move,Frame,Shoulder-Elbow,Hip-Knee,Ankle-Foot
훅,1,95.50779444255394,22.20802599738054,27.891083861567687
훅,2,92.98662754484684,21.857616999379847,25.826699402286778
훅,3,95.67336916011914,24.42531754158438,23.238138047906418
훅,4,104.2203634578317,25.38653379227532,25.695819035952386
훅,5,111.79744616224191,23.70042648975745,25.50490129312157
훅,6,119.98520564403798,23.319445793634536,26.277015837612037
훅,7,127.32298872016877,22.48861418286886,27.984649396390388
훅,8,136.09115089574638,20.588687415721825,30.526407045863415
훅,9,135.58828103883604,20.601123562469382,30.12219752957312
훅,10,132.24627048246168,22.71863792833729,30.959124906204515
훅,11,134.40772970014513,22.447361057710687,29.932612286251263
훅,12,139.793457731741,23.21323286457832,29.13143555168137
훅,13,141.2507570127831,23.015778512551492,25.826094253325316
훅,14,144.96410892221115,21.08763421712579,22.708021731734124
훅,15,150.97912579251118,19.914802500194124,31.62930913899179
훅,16,156.0777088531168,19.546175806482587,34.31847310160411
훅,17,154.95146905788596,18.173798569628044,33.3780255611922
훅,18,154.6418450582172,18.654359629998044,35.72188905810303
훅,19,153.41260083857,20.5300983875904,37.1213287433599
훅,20,144.8201665802182,21.58408485999153,27.633588979072492
훅,21,129.96635859774145,24.510237864924076,25.30497001587475
훅,22,118.11212662003445,27.525483043617196,26.234589123009915
훅,23,106.3282918893854,29.08560133939224,26.982011481852965
훅,24,97.97150354835723,29.240093777434236,29.64097552659131
훅,25,95.15070788231607,29.97313060547566,31.612548288973027
훅,26,95.68189512956762,30.550639788907233,33.50422233325128
훅,27,97.2386119383136,31.199956475354366,35.03101919148444
훅,28,97.74496906063025,31.80877514110736,35.74092595409617
훅,29,97.57684184321968,32.29156719134231,34.658419460103595
훅,30,95.73064984990859,28.92640247506454,31.159559962888846
훅,31,103.80023275060766,25.057226097302603,26.725257341250504
훅,32,109.45625773766139,21.5881464314955,24.952273608028175
훅,33,122.98706617015723,17.4261175697388,23.355581494577397
훅,34,134.3803042018511,13.805359146029417,23.569267801681367
훅,35,149.24583589878335,13.781173118418616,21.784692308354145
훅,36,154.4184426024874,13.44942074731252,21.6978965980313
훅,37,161.71180091613095,13.93690332995983,22.668620989528982
훅,38,160.71751314171274,14.587883906425446,24.414174031734177
훅,39,160.75291592785305,14.720947183775897,25.0826620149761
훅,40,159.47174275890384,14.726486081665835,29.934163740651115
훅,41,158.8843692292133,14.55151561312151,33.755015071789835
훅,42,159.41114180501654,13.606477409567244,34.965417826105316
훅,43,161.64658462063773,13.133434355743722,35.015093827803476
훅,44,163.51589939205638,13.016857414297899,35.22579935812968
훅,45,165.76368543356716,12.712033846571758,37.13158082592847
훅,46,166.3403668464497,12.558451616494398,38.591703985568564
훅,1,165.30807823799807,16.835722497595356,54.16321948823033
훅,2,159.2647148772755,19.25545861620479,53.81614361557487
훅,3,159.98501326290807,19.182234360213567,56.18913843644062
훅,4,159.15903864487183,20.046903923493335,58.77373851617817
훅,5,158.74153691536426,20.168478064389785,55.742063316766504
훅,6,160.2113929071903,20.55686719345156,58.79452094508506
훅,7,164.3956824884776,18.35555198287927,55.72189705674339
훅,8,159.96217081437328,20.764609942292836,46.12067099940553
훅,9,157.21389021210877,18.952094828030784,38.213516964266375
훅,10,151.97215433024377,19.28278590204649,38.21407019409325
훅,11,138.43435498911003,20.701222762104162,31.332234568284367
훅,12,123.86544305726522,23.513528685441422,30.502944453163355
훅,13,115.13534132207982,23.327116178468387,34.18174403875331
훅,14,106.24882726111343,26.154195262658913,34.45581146861813
훅,15,99.84828426131521,27.488368380624774,31.385512247683256
훅,16,100.02330713273588,28.015333628062244,30.382833413934275
훅,17,101.99704351355618,28.20901084867121,30.404204901854758
훅,18,105.60027701251201,27.224577771551896,29.30704646141313
훅,19,109.57891431854515,27.089919251012294,28.498580004009995
훅,20,109.27078579362164,25.71407409333825,31.39097113103886
훅,21,115.02449276597838,25.90293206808649,42.70080945265771
훅,22,120.81421876778344,24.26042769441502,49.52391077438165
훅,23,133.6064722841131,23.070284928018104,59.634293463323864
훅,24,145.24965875280364,20.414124422044438,59.687482558095084
훅,25,159.45110332556737,20.125954498447772,58.35494510628255
훅,26,166.05255772021005,18.015170683329416,49.05765724580931
훅,27,167.60053322544417,17.609797702131505,44.21880100090992
훅,28,165.67339868550863,17.694238110912384,33.58838051871588
훅,1,169.22957229240188,11.518860114039636,32.28413347475967
훅,2,167.36275779670126,12.809661259460382,42.21837629802927
훅,3,165.5013382395653,13.702366960491133,50.56261401111609
훅,4,165.8658432318714,13.827870724676188,49.828925234386006
훅,5,165.89419110030238,14.167829622443076,47.998699249235074
훅,6,165.59369869335006,14.854607496047876,49.40976039261831
훅,7,167.01961853511852,13.816513681620796,44.858314061498746
훅,8,161.07431869401296,12.451384641381889,38.45339950471966
훅,9,158.10951317294274,11.425481456199076,36.14280664325115
훅,10,154.71269237678956,9.976792907733047,35.247318608160775
훅,11,147.07947876560826,9.702486871170171,35.711444915639646
훅,12,143.7749716590152,9.481593406947262,39.47492031748452
