Move,Frame,Shoulder-Elbow (Left),Shoulder-Elbow (Right),Hip-Knee (Left),Hip-Knee (Right),Ankle-Foot (Left),Ankle-Foot (Right)
훅,1,143.05047308487863,164.0914530687945,20.273045553451702,27.12807734591752,64.47599950173574,77.73065147870578
훅,2,144.09905287135297,169.3340199018943,21.0341606869901,24.689174560057623,65.88325245177475,74.29843611179908
훅,3,145.52210794193272,170.13473265720282,21.279274685846058,24.83908910374551,68.979566165154,73.79405216505823
훅,4,146.54508751369343,168.35618744307288,21.007948314731014,25.83618795930988,70.53147880270134,74.24837763944313
훅,5,147.53681975966765,167.05279109214263,20.646039694144424,26.457322197994756,71.58805929620145,74.15592080899509
훅,6,149.66693719213953,164.9984424363667,20.255112708025315,27.222829348403383,73.7250876282881,73.47860770852337
훅,7,151.65218063122282,159.9065467170781,19.515604717329985,29.145117226376488,75.1438703405652,74.67529176554754
훅,8,152.82684279308677,155.5522130428817,18.739301433643867,30.391042977260508,75.06714230063088,75.34577040687756
훅,9,153.76353027566066,153.36358957607067,18.27868465957606,30.89401641244229,74.97942385922273,75.84914901508321
훅,10,154.27889294795062,152.07333698318706,18.036377634445156,31.17662111476485,75.01912228157956,76.34238629878863
훅,11,153.981427552247,152.62173161130917,17.961185174629684,31.108956664181882,75.62784237879146,76.64050019944384
훅,12,153.17089135054616,154.52583328841632,17.97835436913048,30.873551988328465,76.72198891425944,75.58612320390435
훅,13,152.5475731692997,157.11803062801306,18.087118944449617,30.361776780462293,77.07051334432114,73.59991721911092
훅,14,152.07975848332222,157.89925598969754,18.208150451603522,30.432470362783214,78.1840418445483,71.26914410941541
훅,15,151.6085954309388,158.1876226455135,18.421554318653236,30.72198793821611,79.48116614765932,70.00919624834975
훅,16,151.31138951497715,157.57964120737694,18.640024410522834,31.373936284335866,80.96575417641806,69.40336202520606
훅,17,149.06292401506965,154.91781701310342,18.273916316970034,31.894967464528303,82.95814089099754,69.8916102971995
훅,18,138.3248802680084,153.9192001463552,18.162962915174727,31.12386456250693,83.86866673679673,70.94877407770927
훅,19,125.36118269673761,153.2421523049614,17.868666597277155,30.721698509132818,81.06708707586404,72.62462634412105
훅,20,114.72992713201089,149.93588679840096,17.134585569877295,32.3027787524831,74.39360398220799,72.08194718655234
훅,21,103.66941923740906,141.53673890279074,18.794322632635875,36.50197985291909,65.0801516578556,60.78796406532742
훅,22,94.60673254770757,135.28644592820896,21.11878095101911,39.3438065105868,54.76479169116974,47.20240352167255
훅,23,94.80224607399245,126.31575571760384,23.70558369887191,43.880245782732956,46.31644561504025,34.96467650440978
훅,24,98.2372036390893,118.9787620379108,26.118334623535095,47.05238123657768,41.072780474515596,20.915379881843005
훅,25,100.08947481722895,114.38965520251006,28.902140890317543,48.042796233467115,39.46008875755528,8.75321983272343
훅,26,102.83200414967965,115.37759981691354,29.10255779388678,45.965061679834626,40.2366869126707,7.745355112381698
훅,27,105.15317236915374,113.07196280219054,28.88476559347194,47.60390955626788,41.445137251422885,11.633498883939069
